CountryID,Country Name,Region,World Rank,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom
2,Albania,Europe,63,30.0,31.0,87.2,76.1,70.6,52.9,80.8,87.8,70.0,70.0
3,Algeria,Middle East / North Africa,157,30.0,36.0,80.0,38.7,66.6,50.5,71.2,60.8,25.0,30.0
4,Angola,Sub-Saharan Africa,158,15.0,23.0,84.5,50.1,47.4,43.2,65.4,70.2,40.0,40.0
5,Argentina,South and Central America / Caribbean,169,15.0,34.0,66.8,41.2,52.8,43.3,59.6,68.8,30.0,30.0
6,Armenia,Europe,52,20.0,36.0,84.4,82.8,82.7,64.3,70.6,85.4,75.0,70.0
7,Australia,Asia-Pacific,4,90.0,81.0,63.7,61.8,94.1,81.6,85.3,86.4,80.0,90.0
8,Austria,Europe,30,90.0,69.0,50.1,19.8,78.0,76.7,80.3,88.0,90.0,70.0
9,Azerbaijan,Asia-Pacific,85,20.0,28.0,88.1,59.7,74.5,79.1,79.8,76.0,55.0,50.0
10,Bahamas,South and Central America / Caribbean,41,70.0,71.0,97.8,83.2,68.9,75.3,78.8,52.2,30.0,60.0
11,Bahrain,Middle East / North Africa,18,60.0,48.0,99.9,73.1,72.5,83.1,74.2,78.6,65.0,80.0
12,Bangladesh,Asia-Pacific,131,20.0,27.0,72.7,92.0,62.2,63.7,67.7,59.0,45.0,30.0
13,Barbados,South and Central America / Caribbean,46,80.0,75.0,73.8,42.1,71.6,69.2,78.2,63.8,65.0,60.0
14,Belarus,Europe,153,20.0,29.0,86.4,54.7,72.0,80.1,44.5,81.0,20.0,10.0
15,Belgium,Europe,40,80.0,75.0,43.6,10.2,90.7,63.7,81.7,88.0,85.0,70.0
16,Belize,South and Central America / Caribbean,117,30.0,6.7,82.4,78.3,59.1,61.8,79.3,70.4,50.0,50.0
17,Benin,Sub-Saharan Africa,99,30.0,36.0,68.3,86.7,55.2,53.2,79.9,58.4,70.0,50.0
18,Bhutan,Asia-Pacific,115,60.0,63.0,82.6,60.1,61.9,81.1,66.0,49.4,20.0,30.0
19,Bolivia,South and Central America / Caribbean,163,10.0,34.0,86.8,60.9,53.7,25.5,69.7,77.6,10.0,40.0
20,Bosnia and Herzegovina,Europe,97,20.0,42.0,82.9,27.3,53.5,63.4,84.0,87.2,70.0,60.0
21,Botswana,Sub-Saharan Africa,36,70.0,64.0,79.5,61.9,66.8,70.0,73.9,72.2,70.0,70.0
22,Brazil,South and Central America / Caribbean,118,50.0,42.0,68.4,50.9,53.6,52.1,69.4,69.6,50.0,60.0
23,Bulgaria,Europe,55,30.0,41.0,91.0,64.5,68.5,76.6,83.2,88.0,65.0,60.0
24,Burkina Faso,Sub-Saharan Africa,102,25.0,38.0,82.4,79.8,49.6,57.8,80.0,68.2,65.0,40.0
25,Burma,Asia-Pacific,161,10.0,21.0,86.9,77.9,28.7,79.3,66.1,74.2,15.0,10.0
26,Burundi,Sub-Saharan Africa,132,20.0,21.0,73.5,61.3,61.4,68.1,69.8,72.2,60.0,30.0
27,Cambodia,Asia-Pacific,110,25.0,20.0,90.5,87.5,29.2,62.2,78.7,72.2,60.0,50.0
28,Cameroon,Sub-Saharan Africa,146,25.0,25.0,71.7,87.8,41.6,47.8,75.6,59.6,35.0,50.0
29,Canada,North America,6,90.0,81.0,79.9,48.3,89.0,76.1,77.9,88.4,80.0,80.0
30,Cabo Verde,Sub-Saharan Africa,60,75.0,58.0,78.3,67.9,61.8,42.1,81.0,69.6,70.0,60.0
31,Central African Republic,Sub-Saharan Africa,166,15.0,25.0,65.0,92.0,27.2,37.5,69.6,52.4,45.0,30.0
32,Chad,Sub-Saharan Africa,165,20.0,19.0,46.2,83.6,27.1,47.7,75.6,55.2,45.0,40.0
33,Chile,South and Central America / Caribbean,7,90.0,71.0,76.5,83.3,69.3,67.0,85.6,82.0,90.0,70.0
34,China,Asia-Pacific,139,20.0,40.0,69.7,81.5,52.1,63.0,74.2,71.8,25.0,30.0
35,Colombia,South and Central America / Caribbean,28,50.0,36.0,80.3,76.0,81.5,81.7,80.1,81.2,80.0,70.0
36,Comoros,Sub-Saharan Africa,142,30.0,28.0,64.5,78.8,47.3,52.0,77.9,73.0,40.0,30.0
37,"Congo, Democratic Republic of the Congo",Sub-Saharan Africa,168,10.0,22.0,72.9,85.7,42.8,38.4,75.1,63.0,20.0,20.0
38,"Congo, Republic of",Sub-Saharan Africa,170,10.0,22.0,67.4,60.7,36.8,36.0,71.6,62.4,30.0,30.0
39,Costa Rica,South and Central America / Caribbean,51,50.0,53.0,80.0,89.9,64.5,54.6,75.8,83.8,70.0,50.0
40,C?te d'Ivoire,Sub-Saharan Africa,103,35.0,27.0,77.7,82.4,65.4,46.0,75.0,71.4,55.0,50.0
41,Croatia,Europe,81,40.0,48.0,74.9,46.5,55.8,42.8,80.0,87.2,80.0,60.0
42,Cuba,South and Central America / Caribbean,177,10.0,46.0,61.8,0.0,20.0,20.0,64.8,63.8,0.0,10.0
43,Cyprus,Europe,45,70.0,63.0,79.5,36.7,79.5,59.6,82.7,88.0,70.0,50.0
44,Czech Republic,Europe,24,75.0,48.0,81.5,40.6,68.2,82.9,81.2,88.0,80.0,80.0
45,Denmark,Europe,11,95.0,91.0,39.6,1.8,97.4,92.1,87.6,88.0,90.0,80.0
46,Djibouti,Sub-Saharan Africa,112,25.0,36.0,81.2,57.1,55.4,66.6,78.9,54.8,70.0,50.0
47,Dominica,South and Central America / Caribbean,61,60.0,58.0,73.6,61.5,71.6,68.7,89.5,72.8,75.0,30.0
48,Dominican Republic,South and Central America / Caribbean,86,30.0,29.0,84.1,87.1,53.5,57.5,76.0,77.8,75.0,40.0
49,Ecuador,South and Central America / Caribbean,156,15.0,35.0,79.1,51.0,51.4,51.3,68.2,71.4,30.0,40.0
