address,lat,lon,title,district
"No.30 Youya Road, Beitou District, Taipei 11243, Taiwan ",25.137793,121.51495,Grand View Resort Beitou,Beitou
"No.28 Section 1, Minsheng East Road, Zhongshan District, Taipei 104, Taiwan ",25.057854,121.52409,YoMi Hotel,Zhongshan
"No.3 Zhongshan Road, Beitou District, Taipei 11243, Taiwan ",25.137163,121.50544,Beitou Hot Spring Resort (Tian Yue Quan),Beitou
"No.18 Songgao Road, Xinyi District, Taipei 11073, Taiwan ",25.039248,121.56741,Humble House Taipei,Xinyi
"4F., No.11, Sec. 2, Nanjing E. Road, Taipei 104, Taiwan ",25.052057,121.52831,Taipei Morning Hotel,Zhongshan
"No.131 Section 3, Nanjing East Road, Zhongshan District, Taipei 104, Taiwan ",25.05203,121.54097,FX Hotel - Taipei Nanjing East Road,Zhongshan
"2F, No.42, Section 1, Minsheng East Road, Taipei 104, Taiwan ",25.058155,121.52451,Via Hotel Loft,Zhongshan
"No.38 Songren Road, Xinyi District, Taipei 110, Taiwan ",25.037867,121.56796,Le Meridien Taipei,Xinyi
"No.63 Sung Chiang Road, Taipei 104, Taiwan ",25.04892,121.53329,Evergreen Laurel Hotel,Zhongshan
"No.600 Linshen North Road, Zhongshan District, Taipei 104, Taiwan ",25.06592,121.52569,Imperial Hotel Taipei,Zhongshan
"No.11 Youya Road, Beitou District, Taipei 112, Taiwan ",25.13717,121.5122,Hotel DOUBLE ONE,Beitou
"No.186 Sung Chiang Road, Taipei 10467, Taiwan ",25.056469,121.532776,Taipei Gala Hotel,Zhongshan
"No.39 Changchun Road, Zhongshan District, Taipei 104, Taiwan (Formerly Horng Gong Hotel Taipei)",25.05494,121.52591,Tokyo International Hotel,Zhongshan
"No.1 Qiyan Road, Beitou District, Taipei 11242, Taiwan ",25.134659,121.507195,The Gaia Hotel,Beitou
"No.253 Songjiang Road, Taipei 104, Taiwan ",25.059462,121.53338,Check Inn Taipei,Zhongshan
"No.26 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.13782,121.51026,Royal Seasons Hotel (Hot Spring Beitou),Beitou
"No.646 Linsen North Road, Taipei 104, Taiwan ",25.068357,121.52553,Riviera Hotel,Zhongshan
"No.133 Section 3, Nanking East Road, Taipei 104, Taiwan ",25.052166,121.541115,The Westin Taipei,Zhongshan
"No.297 Section 5, Zhongxiao East Road, Xinyi District, Taipei 11066, Taiwan ",25.04089,121.57295,THE Tango Taipei XinYi,Xinyi
"No.63 Section 2, Zhongshan North Road, Taipei 10446, Taiwan ",25.056581,121.52313,Ambassador Hotel Taipei,Zhongshan
"No.83 Section 3, Civic Boulevard, Zhongshan District, Taipei 10491, Taiwan ",25.044691,121.53747,Miramar Garden Taipei,Zhongshan
"No.224 Cuang Ming Road, Beitou District, Taipei 112, Taiwan ",25.13603,121.50548,Sweetme Hotspring Resort,Beitou
"No.32 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.137833,121.5105,Villa 32,Beitou
"No.3 Nanjing West Road, Zhongshan District, Taipei 10444, Taiwan ",25.052748,121.52155,THE Tango Taipei NanShi,Zhongshan
"No.9 Lane 64 Sec. 2 Jianguo North Road, Taipei 104, Taiwan ",25.0543,121.5359,Beauty Hotels Taipei - Roumei Boutique,Zhongshan
"B1, No.16, Sec. 5, Xinyi Road, Xinyi District, Taipei 11049, Taiwan ",25.032806,121.5633,Sparkle Hotel,Xinyi
"4F, No.83 Linsen North Road, Taipei 104, Taiwan ",25.04975,121.52476,Royal Inn Taipei Linsen,Zhongshan
"No.18 You Ya Road, Beitou District, Taipei 112, Taiwan ",25.13754,121.51371,Spring City Resort,Beitou
"4F., No.246, Sec. 2, Changan East Road, Taipei 104, Taiwan ",25.048325,121.540405,Horizon Inn,Zhongshan
"No.240 Guangming Road, Beitou District, Taipei 112, Taiwan ",25.13626,121.50733,Golden Hot Spring Hotel,Beitou
"No.7, Sec 2, Jianguo North Road, Taipei 10487, Taiwan ",25.05272,121.53703,Capital Hotel,Zhongshan
"No.52 Section 1, Jianguo North Road, Taipei 104, Taiwan ",25.04794,121.53625,Beauty Hotels Taipei - Hsuanmei Boutique,Zhongshan
"No.15 Lane 83, Section1, Chungshan North Road, Taipei 10446, Taiwan ",25.04994,121.52433,THE Tango Taipei LinSen,Zhongshan
"No.80 Linsen North Road, Zhongshan District, Taipei 10441, Taiwan ",25.049465,121.524605,THE Tango Taipei ChangAn,Zhongshan
"No.1 Yinguang Lane, Wenquan Road, Peitou District, Taipei 111243, Taiwan (Formerly Lotus Spa Hot Spring Hotel)",25.1366,121.51303,Nine Plus Spa Hot Spring Hotel,Beitou
"No.3 Yijiang Street, Jhongshan District, Taipei 104, Taiwan (Formerly Viscount Hotel)",25.050962,121.53149,Forward Hotel - Songjiang,Zhongshan
"B1-F12, No.8 Minsheng West Road, Chung Shan, Taipei 104, Taiwan ",25.05783,121.52226,Shin Shih Hotel,Zhongshan
"No.477 Linsen North Road, Jhongshan District, Taipei 104, Taiwan ",25.06112,121.52572,Hotel Sense,Zhongshan
