Order ID,Order Date,Order Quantity,Sales,Profit,Unit Price,Province,Customer Segment,Product Category
3,2010/10/13,6,261.54,-213.25,38.94,Nunavut,Small Business,Office Supplies
293,2012/10/1,49,10123.02,457.81,208.16,Nunavut,Consumer,Office Supplies
293,2012/10/1,27,244.57,46.71,8.69,Nunavut,Consumer,Office Supplies
483,2011/7/10,30,4965.7595,1198.97,195.99,Nunavut,Corporate,Technology
515,2010/8/28,19,394.27,30.94,21.78,Nunavut,Consumer,Office Supplies
515,2010/8/28,21,146.69,4.43,6.64,Nunavut,Consumer,Furniture
613,2011/6/17,12,93.54,-54.04,7.3,Nunavut,Corporate,Office Supplies
613,2011/6/17,22,905.08,127.70,42.76,Nunavut,Corporate,Office Supplies
643,2011/3/24,21,2781.82,-695.26,138.14,Nunavut,Corporate,Office Supplies
678,2010/2/26,44,228.41,-226.36,4.98,Nunavut,Home Office,Office Supplies
807,2010/11/23,45,196.85,-166.85,4.28,Nunavut,Home Office,Office Supplies
807,2010/11/23,32,124.56,-14.33,3.95,Nunavut,Home Office,Office Supplies
868,2012/6/8,32,716.84,134.72,21.78,Nunavut,Home Office,Office Supplies
868,2012/6/8,31,1474.33,114.46,47.98,Nunavut,Home Office,Technology
933,2012/8/4,15,80.61,-4.72,5.28,Nunavut,Small Business,Office Supplies
995,2011/5/30,46,1815.49,782.91,39.89,Nunavut,Home Office,Furniture
998,2009/11/25,16,248.26,93.80,15.74,Nunavut,Small Business,Office Supplies
1154,2012/2/14,44,4462.23,440.72,100.98,Nunavut,Home Office,Furniture
1154,2012/2/14,11,663.784,-481.04,71.37,Nunavut,Home Office,Furniture
1344,2012/4/15,15,834.904,-11.68,65.99,Nunavut,Corporate,Technology
1344,2012/4/15,18,2480.9205,313.58,155.99,Nunavut,Corporate,Technology
1412,2010/3/12,13,59.03,26.92,3.69,Nunavut,Consumer,Office Supplies
1412,2010/3/12,21,97.48,-5.77,4.71,Nunavut,Consumer,Office Supplies
1539,2011/3/9,33,511.83,-172.88,15.99,Nunavut,Corporate,Office Supplies
1539,2011/3/9,38,184.99,-144.55,4.89,Nunavut,Corporate,Technology
1540,2012/8/4,30,80.9,5.76,2.88,Nunavut,Home Office,Office Supplies
1702,2011/5/6,23,67.24,4.90,2.84,Nunavut,Home Office,Office Supplies
1761,2010/12/23,25,12028.23,-547.61,449.99,Nunavut,Corporate,Technology
1792,2010/11/8,28,370.48,-5.45,13.48,Nunavut,Consumer,Office Supplies
2275,2012/10/21,49,278,41.67,6.08,Nunavut,Small Business,Office Supplies
2277,2011/1/1,10,66.54,-46.03,5.98,Nunavut,Home Office,Technology
2277,2011/1/1,21,845.32,33.67,40.99,Nunavut,Home Office,Office Supplies
2532,2011/10/10,39,282.07,140.01,7.31,Nunavut,Corporate,Office Supplies
2532,2011/10/10,24,426.037,-78.96,20.99,Nunavut,Corporate,Technology
2631,2010/9/23,27,1078.49,252.66,40.96,Nunavut,Corporate,Technology
2757,2011/7/19,39,3554.46,-1766.01,95.95,Nunavut,Corporate,Furniture
2791,2009/10/9,47,191.67,-236.27,3.89,Nunavut,Corporate,Office Supplies
2791,2009/10/9,49,5586.33,80.44,120.98,Nunavut,Corporate,Furniture
2791,2009/10/9,18,507.64,118.94,30.98,Nunavut,Corporate,Office Supplies
2976,2010/12/9,30,14223.82,3424.22,500.98,Nunavut,Consumer,Furniture
3232,2012/10/8,5,42.66,-11.83,7.84,Nunavut,Small Business,Office Supplies
3524,2012/5/2,21,427.32,52.35,18.97,Nunavut,Small Business,Office Supplies
3908,2010/3/8,8,820.284,-180.20,115.99,Nunavut,Corporate,Technology
4132,2011/5/28,5,14.76,1.32,2.88,Nunavut,Corporate,Office Supplies
4612,2010/9/19,9,89.55,-375.64,4.48,Nunavut,Corporate,Office Supplies
4676,2011/8/31,11,1210.0515,-104.25,125.99,Nunavut,Home Office,Technology
4676,2011/8/31,50,187.83,85.96,3.75,Nunavut,Home Office,Office Supplies
